item,itemLabel,startDate,endDate,sourceDate,psid
Q311355,Enrique Bolaños,1997-01-10,2000-10-24,,Q311355-43558131-5143-4F9A-B14B-C9E2DD3B9023
Q96007379,Leopoldo Navarro Bermúdez,2000-10-24,2002-01-10,2022-08-23,Q96007379-2f3ed0f2-4184-b3b2-7cb4-48286b9a6764
Q6293873,José Rizo Castellón,2002-01-10,2005-10,2022-08-23,Q6293873-6A1FF95F-8B02-4524-9139-2598699ADB13
Q4723794,Alfredo Gómez Urcuyo,2005-10-10,2007-01-10,2022-08-23,Q4723794-A231AE88-C696-4D4B-A91E-36DD33D38D33
Q6123851,Jaime Morales Carazo,2007-01-10,2012-01-10,2022-08-23,Q6123851-3311F212-7F7C-4411-85D4-9C841A2F3879
Q9052236,Omar Halleslevens,2012-01-10,2017-01-10,2022-08-23,Q9052236-1AA73953-591E-4022-A281-BA64D72AB515
Q3034382,Rosario Murillo,2017-01-10,,,Q3034382-8a093c02-4220-eed8-5338-e069b241d52d
