who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
13577522,Q3649507,Vice President of Nicaragua,2017-01-10,,Q9052236,Omar Halleslevens,,,0
13577522,First Lady of Nicaragua,First Lady of Nicaragua,2007-01-10,,Lila T. Abaunza,Lila T. Abaunza,,,1
13577522,,,1985-01-10,1990-04-25,Hope Portocarrero,Hope Portocarrero (1979),Cristiana Chamorro Barrios,Cristiana Chamorro Barrios,2
13577522,National Assembly (Nicaragua),Member of the National Assembly of Nicaragua,1984-11-04,1990-02-25,,,,,3
