who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
8778,Q852448,President of Nicaragua,2007-01-10,,Q311355,Enrique Bolaños,,,0
8778,,,1979-07-18,1990-04-25,Anastasio Somoza Debayle,Anastasio Somoza Debayle,Violeta Chamorro,Violeta Chamorro,1
8778,Junta of National Reconstruction,Coordinator of the Junta of National Reconstruction,1979-07-18,1985-01-10,Francisco Urcuyo,Francisco Urcuyo (Acting President of Nicaragua),,Himself (President of Nicaragua),2
8778,,,,,,,,,3
