ordinal,item,itemLabel,inception,inceptionPrecision,abolished,abolishedPrecision,replaces,replacesLabel,replacedBy,replacedByLabel
,Q114755020,Fourth Daniel Ortega presidency,2017-01-01,10,,,,,Q114755036,Fifth Daniel Ortega presidency
,Q114755036,Fifth Daniel Ortega presidency,2022-01-11,11,,,Q114755020,Fourth Daniel Ortega presidency,,
