item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q114754489,Minister of Agriculture,,,Q811,Q811,,,2
Q114754432,Minister of Defence,,,Q811,Q811,,,2
Q114754515,"Minister of Development, Industry and Trade",,,Q811,Q811,,,2
Q114754397,Minister of Education of Nicaragua,Q20024716,Ministry of Education of Nicaragua,,Q811,,,2
Q114754490,Minister of Energy and Mines,,,Q811,Q811,,,1
Q114754405,Minister of Finance and Public Credit of Nicaragua,Q85874982,Ministry of Finance and Public Credit of Nicaragua,,Q811,,,1
Q18345278,Minister of Foreign Affairs,Q17142642,Ministry of Foreign Affairs of the Republic of Nicaragua,Q811,Q811,,,10
Q114754414,Minister of Health,Q30282287,Ministry of Health,,Q811,,,4
Q114754468,Minister of Household Economy,,,Q811,Q811,,,2
Q114754485,Minister of Labour,,,Q811,Q811,,,1
Q114754521,Minister of Transport and Infrastructure,,,Q811,Q811,,,3
Q114754479,Minister of Women,,,Q811,Q811,,,2
Q114754525,Minister of Youth,,,Q811,Q811,,,1
Q114754419,Minister of the Environment and Natural Resources,Q6867683,Ministry of the Environment and Natural Resources,,Q811,,,3
Q114754449,Minister of the Family,,,Q811,Q811,,,2
Q114754448,Minister of the Interior,,,Q811,Q811,,,1
Q114755131,Minister-Delegate of the President of the Republic,,,Q811,Q811,,,2
Q852448,President of Nicaragua,,,Q811,Q811,1854,,97
Q114754816,Prosecutor General,,,Q811,Q811,,,1
Q3649507,Vice President of Nicaragua,,,Q811,Q811,1893,,8
