position,person,personID,start,end
President,Daniel Ortega,Q57402,2007-01-10,
Vice President,Rosario Murillo,Q3034382,2017-01-10,
Minister of Agriculture,Isidro Antonio Rivera,Q114755301,2022-06-28,
Minister of Defence,Rosa Adelina Barahona Castro,Q113189838,2019-08-19,
"Minister of Development, Industry and Trade",José de Jesús Bermúdez Carvajal,Q114755416,2022-01-03,
Minister of Education,Lilliam Herrera,Q111737782,2022-01-06,
Minister of Energy and Mines,Salvador Mansell Castrillo,Q114754980,2017-01-11,
Minister of the Environment and Natural Resources,Fanny Sumaya Castillo Lara,Q114755642,2019-05-02,
Minister of the Family,Johanna Flores,Q114755614,2018-06-27,
Minister of Finance and Public Credit,Iván Acosta Montalván,Q114754969,2017-01-11,
Minister of Foreign Affairs,Denis Moncada,Q28381212,2017-01-17,
Minister of Health,Martha Verónica Reyes,Q114755584,2022-04-01,
Minister of Household Economy,Justa del Rosario Pérez Acuña,Q114755795,2017-07-03,
Minister of the Interior,María Amelia Coronel Kinloch,Q114754974,2017-01-11,
Minister of Labour,Alba Luz Torres Briones,Q114754966,2017-01-11,
Minister of Transport and Infrastructure,Oscar Mojica,Q114755818,2017-08-18,
Minister of Women,Jessica Yaoska Padilla Leiva,Q114755892,2019-11-07,
Minister-Delegate of the President,Moisés Ornar Halleslevens Acevedo,Q114754977,2017-01-11,
Minister-Delegate of the President,Álvaro Antonio Baltodano Cantarero,Q114754982,2017-01-11,
Attorney General,Ana Julia Guido,Q108101345,2014-04-10,
Speaker of the National Assembly,Gustavo Porras Cortés,Q28173996,2017-01,
Governor of the Central Bank,Leonardo Ovidio Reyes Ramírez,Q107171845,2014-01,
