item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q107171845,Leonardo Ovidio Reyes Ramírez,,,,,,false,,,,
Q107316535,Iris Marina Montenegro Blandón,,,,,,false,,,,
Q107673986,Francisco Aguirre Sacasa,,,,,,false,,,,
Q108101345,Ana Julia Guido,NormalRank,Q596688,Matagalpa,true,true,true,false,false,true,true
Q108454830,José Adán Guerra Pastora,,,,,,false,,,,
Q108454832,Norman José Caldera Cardenal,,,,,,false,,,,
Q111737782,Lilliam Herrera,,,,,,false,,,,
Q113189838,Rosa Adelina Barahona Castro,,,,,,false,,,,
Q113577115,Carlos Antonio Noguera Pastora,,,,,,false,,,,
Q113577116,Eduardo Goméz López,,,,,,false,,,,
Q113577117,Jaime Cuadra Somarriba,,,,,,false,,,,
Q114754966,Alba Luz Torres Briones,,,,,,false,,,,
Q114754967,Bosco Castillo Cruz,,,,,,false,,,,
Q114754968,Edward Francisco Centeno,,,,,,false,,,,
Q114754969,Iván Acosta Montalván,,,,,,false,,,,
Q114754970,Joaquín Hernán Estrada Santamaría,,,,,,false,,,,
Q114754971,Juana Vicenta Argeñal Sandoval,,,,,,false,,,,
Q114754973,Marcia Ramírez Mercado,,,,,,false,,,,
Q114754974,María Amelia Coronel Kinloch,,,,,,false,,,,
Q114754975,María Auxiliadora Chiong Gutiérrez,,,,,,false,,,,
Q114754976,Miriam Soledad Raudez Rodríguez,,,,,,false,,,,
Q114754977,Moisés Ornar Halleslevens Acevedo,,,,,,false,,,,
Q114754978,Orlando Salvador Solórzano Delgadillo,,,,,,false,,,,
Q114754979,Pablo Fernando Martínez Espinoza,,,,,,false,,,,
Q114754980,Salvador Mansell Castrillo,,,,,,false,,,,
Q114754981,Sonia Castro González,,,,,,false,,,,
Q114754982,Álvaro Antonio Baltodano Cantarero,,,,,,false,,,,
Q114754983,Ángela Yadira Meza Vargas,,,,,,false,,,,
Q114755301,Isidro Antonio Rivera,,,,,,false,,,,
Q114755416,José de Jesús Bermúdez Carvajal,,,,,,false,,,,
Q114755562,Guillermo González,,,,,,false,,,,
Q114755574,Carolina Dávila Murillo,,,,,,false,,,,
Q114755584,Martha Verónica Reyes,,,,,,false,,,,
Q114755614,Johanna Flores,,,,,,false,,,,
Q114755642,Fanny Sumaya Castillo Lara,,,,,,false,,,,
Q114755795,Justa del Rosario Pérez Acuña,,,,,,false,,,,
Q114755818,Oscar Mojica,,,,,,false,,,,
Q114755852,José Amadeo Santana Rodríguez,,,,,,false,,,,
Q114755892,Jessica Yaoska Padilla Leiva,,,,,,false,,,,
Q114756083,Heyddy Loredana Calderón Palma,,,,,,false,,,,
Q18615762,Óscar Moncada,,,,,,false,,,,
Q28173996,Gustavo Porras Cortés,NormalRank,Q3274,Managua,true,true,false,,,,
Q28381212,Denis Moncada,NormalRank,Q2215609,Murra,true,true,true,false,false,true,true
Q29913348,Martha Elena Ruiz Sevilla,,,,,,false,,,,
Q3034382,Rosario Murillo,NormalRank,Q3274,Managua,true,true,true,false,false,false,true
Q311355,Enrique Bolaños,NormalRank,Q2215135,Nindirí,true,true,true,false,false,false,true
Q356647,Arnoldo Alemán,NormalRank,Q3274,Managua,true,true,true,false,false,false,true
Q4723794,Alfredo Gómez Urcuyo,NormalRank,Q811,Nicaragua,true,false,true,false,false,false,true
Q6123851,Jaime Morales Carazo,NormalRank,Q205648,Granada,true,true,true,false,false,false,true
Q62594843,René Núñez Téllez,,,,,,false,,,,
Q6293873,José Rizo Castellón,NormalRank,Q1026296,Jinotega,true,true,true,false,false,true,true
Q9052236,Moises Omar Halleslevens Acevedo,NormalRank,Q2606938,La Libertad,true,true,true,false,false,false,true
Q96007379,Leopoldo Navarro,,,,,,false,,,,
Q57402,Daniel Ortega,NormalRank,Q2606938,La Libertad,true,true,false,,,,
Q58262,Samuel Santos López,NormalRank,Q3274,Managua,true,true,false,,,,
