item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q107171845,NormalRank,Q6581097,true,false,,,,
Q107316535,NormalRank,Q6581072,true,false,,,,
Q107673986,NormalRank,Q6581097,true,false,,,,
Q108101345,NormalRank,Q6581072,true,false,,,,
Q108454830,NormalRank,Q6581097,true,false,,,,
Q108454832,NormalRank,Q6581097,true,false,,,,
Q111737782,NormalRank,Q6581072,true,false,,,,
Q113189838,NormalRank,Q6581072,true,false,,,,
Q113577115,,,,false,,,,
Q113577116,,,,false,,,,
Q113577117,,,,false,,,,
Q114754966,NormalRank,Q6581072,true,false,,,,
Q114754967,NormalRank,Q6581097,true,false,,,,
Q114754968,NormalRank,Q6581097,true,false,,,,
Q114754969,NormalRank,Q6581097,true,false,,,,
Q114754970,,,,false,,,,
Q114754971,NormalRank,Q6581072,true,false,,,,
Q114754973,NormalRank,Q6581072,true,false,,,,
Q114754974,NormalRank,Q6581072,true,false,,,,
Q114754975,NormalRank,Q6581072,true,false,,,,
Q114754976,NormalRank,Q6581072,true,false,,,,
Q114754977,NormalRank,Q6581097,true,false,,,,
Q114754978,NormalRank,Q6581097,true,false,,,,
Q114754979,NormalRank,Q6581097,true,false,,,,
Q114754980,NormalRank,Q6581097,true,false,,,,
Q114754981,NormalRank,Q6581072,true,false,,,,
Q114754982,NormalRank,Q6581097,true,false,,,,
Q114754983,NormalRank,Q6581072,true,false,,,,
Q114755301,NormalRank,Q6581097,true,false,,,,
Q114755416,NormalRank,Q6581097,true,false,,,,
Q114755562,NormalRank,Q6581097,true,false,,,,
Q114755574,NormalRank,Q6581072,true,false,,,,
Q114755584,NormalRank,Q6581072,true,false,,,,
Q114755614,NormalRank,Q6581072,true,false,,,,
Q114755642,,,,false,,,,
Q114755795,NormalRank,Q6581072,true,false,,,,
Q114755818,NormalRank,Q6581097,true,false,,,,
Q114755852,,,,false,,,,
Q114755892,NormalRank,Q6581072,true,false,,,,
Q114756083,NormalRank,Q6581072,true,false,,,,
Q18615762,NormalRank,Q6581097,true,false,,,,
Q28173996,NormalRank,Q6581097,true,false,,,,
Q28381212,NormalRank,Q6581097,true,false,,,,
Q29913348,NormalRank,Q6581072,true,false,,,,
Q3034382,NormalRank,Q6581072,true,true,false,false,false,true
Q311355,NormalRank,Q6581097,true,true,false,false,false,true
Q356647,NormalRank,Q6581097,true,true,true,true,false,false
Q356647,NormalRank,Q6581097,true,true,false,false,false,true
Q356647,NormalRank,Q6581097,true,true,true,false,false,false
Q4723794,NormalRank,Q6581097,true,false,,,,
Q6123851,NormalRank,Q6581097,true,false,,,,
Q62594843,NormalRank,Q6581097,true,true,false,false,false,true
Q6293873,NormalRank,Q6581097,true,false,,,,
Q9052236,NormalRank,Q6581097,true,false,,,,
Q96007379,NormalRank,Q6581097,true,false,,,,
Q57402,NormalRank,Q6581097,true,true,false,false,false,true
Q58262,NormalRank,Q6581097,true,false,,,,
