@@,item,itemlabel,gender,position,positionlabel,enddate,psid
---,Q57402,Daniel Ortega,male,Q852448,President of Nicaragua,,q57402-9d3979b3-4659-d47a-24c5-8d456d73b4bc
---,Q3034382,Rosario Murillo,female,Q3649507,Vice President of Nicaragua,,Q3034382-8a093c02-4220-eed8-5338-e069b241d52d
