item,itemLabel,gender,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q107171845,Leonardo Ovidio Reyes Ramírez,male,Q114754575,Presidente del Banco Central de Nicaragua,2014-01,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q107171845-48ac6fd3-4bf2-55a1-ea05-66216d9df1df
Q114754966,Alba Luz Torres Briones,female,Q114754485,Ministra del Trabajo,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754966-8D7FF5C7-14D3-4A8E-B34D-68C3F659A0A4
Q114754967,Bosco Castillo Cruz,male,Q114754525,Ministro del Ministerio de la Juventud,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754967-C7B3935E-08B2-4B24-98D7-2A3E402B0F32
Q114754968,Edward Francisco Centeno,male,Q114754489,Ministro Agropecuario,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754968-8713CAB2-6CFB-4916-84B8-F91270549EC7
Q114754969,Iván Acosta Montalván,male,Q114754405,Ministro de Hacienda y Crédito Público,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754969-17D5F4E8-7C4C-4E0A-B9BC-83BE8C37A464
Q114754970,Joaquín Hernán Estrada Santamaría,,Q114754816,Procurador General de la República,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754970-7A5BEE0C-3142-49CE-BDCC-EE4301A90DBC
Q114754971,Juana Vicenta Argeñal Sandoval,female,Q114754419,Ministra del Ambiente y de los Recursos Naturales,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754971-80F9D2CA-CA0B-4930-846A-58A307BEA95D
Q114754973,Marcia Ramírez Mercado,female,Q114754449,Ministra de la Familia Adolescencia y Niñez,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754973-6CC58381-B86C-484E-831B-E06321429F49
Q114754974,María Amelia Coronel Kinloch,female,Q114754448,Ministra de Gobernación,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754974-C02840FF-4966-4482-AB07-BE11B082B3D1
Q114754975,María Auxiliadora Chiong Gutiérrez,female,Q114754468,"Ministra del Ministerio de Economía Familiar, Comunitaria, Cooperativa y Asociativa",2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754975-4032733C-598E-465C-8DEC-E7A8B794BFE9
Q114754976,Miriam Soledad Raudez Rodríguez,female,Q114754397,Ministra de Educación,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754976-DC7C1825-DFB5-4894-B8C2-205100DA7222
Q114754977,Moisés Ornar Halleslevens Acevedo,male,Q114755131,Ministro - Delegado del Presidente de la República para Asuntos Específicos,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754977-A8AA3C79-B311-4603-8944-8D8064E4EC82
Q114754978,Orlando Salvador Solórzano Delgadillo,male,Q114754515,"Ministro de Fomento, Industria y Comercio",2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754978-7C15CD69-A7E5-458E-9ABF-D8DDFC2E6C14
Q114754979,Pablo Fernando Martínez Espinoza,male,Q114754521,Ministro de Transporte e Infraestructura,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754979-263C05F0-AD03-4DF0-8EC7-9F10B980468E
Q114754980,Salvador Mansell Castrillo,male,Q114754490,Ministro de Energía y Minas,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754980-B0337F2A-652A-489C-9B8B-351DCBF68301
Q114754981,Sonia Castro González,female,Q114754414,Ministra de Salud,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754981-B3300C64-E591-41A4-8C8D-67B4C92A3FEB
Q114754982,Álvaro Antonio Baltodano Cantarero,male,Q114755131,Ministro - Delegado Presidencial para la Promoción de Inversiones y Facilitación del Comercio del Exterior,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754982-529E4C53-0AF3-4D7C-8294-6EF9C0618475
Q114754983,Ángela Yadira Meza Vargas,female,Q114754479,Ministra del Ministerio de la Mujer,2017-01-11,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q114754983-2A41790F-8535-4478-85AD-69DE5DFCE57C
Q28381212,Denis Ronaldo Moncada Colindres,male,Q18345278,Ministro de Relaciones Exteriores,2017-01-17,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q28381212-E727D3BD-5B8B-453D-A25C-0EBA51E99DC7
Q29913348,Martha Elena Ruiz Sevilla,female,Q114754432,Ministra de Defensa,2014-02-19,,http://legislacion.asamblea.gob.ni/Normaweb.nsf/xpNorma.xsp?documentId=64FFD54BACA3F6060625837E00615ED4,2022-10-19,Q29913348-846223C6-0D84-40CA-8532-00347B6483B7
Q3034382,Rosario Murillo,female,Q3649507,Vice President of Nicaragua,2017-01-10,,,,Q3034382-8a093c02-4220-eed8-5338-e069b241d52d
Q57402,Daniel Ortega,male,Q852448,President of Nicaragua,2007-01-10,,,,q57402-9d3979b3-4659-d47a-24c5-8d456d73b4bc
